ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.589,high,ACEH,2019,default_fallback,seasonal_estimate,8839.6,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,1.205,high,SUMATERA UTARA,2019,default_fallback,seasonal_estimate,18071.66,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,15.3,low,SUMATERA BARAT,2019,default_fallback,seasonal_estimate,122398.9,8000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.034,high,RIAU,2019,default_fallback,seasonal_estimate,506.7,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.646,high,JAMBI,2019,default_fallback,seasonal_estimate,9686.3,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.093,high,SUMATERA SELATAN,2019,default_fallback,seasonal_estimate,1390.0,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.035,high,BENGKULU,2019,default_fallback,seasonal_estimate,523.4,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.242,high,LAMPUNG,2019,default_fallback,seasonal_estimate,3634.2,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.011,high,KEPULAUAN BANGKA BELITUNG,2019,default_fallback,seasonal_estimate,170.0,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.006,high,KEPULAUAN RIAU,2019,default_fallback,seasonal_estimate,94.6,15000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,17.346,low,JAWA BARAT,2019,default_fallback,seasonal_estimate,173463.2,10000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,10.709,low,JAWA TENGAH,2019,default_fallback,seasonal_estimate,481889.5,45000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,1.133,high,DAERAH ISTIMEWA YOGYAKARTA,2019,default_fallback,seasonal_estimate,16998.5,15000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,16.315,low,JAWA TIMUR,2019,default_fallback,seasonal_estimate,407877.1,25000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,0.103,high,BANTEN,2019,default_fallback,seasonal_estimate,1544.6,15000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,1.312,high,BALI,2019,default_fallback,seasonal_estimate,19686.8,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,9.413,low,NUSA TENGGARA BARAT,2019,default_fallback,seasonal_estimate,188254.5,20000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.55,high,NUSA TENGGARA TIMUR,2019,default_fallback,seasonal_estimate,8254.0,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.004,high,KALIMANTAN BARAT,2019,default_fallback,seasonal_estimate,53.3,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.026,high,KALIMANTAN TENGAH,2019,default_fallback,seasonal_estimate,395.5,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.076,high,KALIMANTAN SELATAN,2019,default_fallback,seasonal_estimate,1143.1,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.012,high,KALIMANTAN TIMUR,2019,default_fallback,seasonal_estimate,172.5,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.009,high,KALIMANTAN UTARA,2019,default_fallback,seasonal_estimate,139.0,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.209,high,SULAWESI UTARA,2019,default_fallback,seasonal_estimate,3139.3,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.434,high,SULAWESI TENGAH,2019,default_fallback,seasonal_estimate,6507.8,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,6.784,medium,SULAWESI SELATAN,2019,default_fallback,seasonal_estimate,101762.0,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.026,high,SULAWESI TENGGARA,2019,default_fallback,seasonal_estimate,390.0,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.042,high,GORONTALO,2019,default_fallback,seasonal_estimate,628.6,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.034,high,SULAWESI BARAT,2019,default_fallback,seasonal_estimate,506.6,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.049,high,MALUKU,2019,default_fallback,seasonal_estimate,735.6,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.042,high,MALUKU UTARA,2019,default_fallback,seasonal_estimate,623.8,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.012,high,PAPUA BARAT,2019,default_fallback,seasonal_estimate,183.9,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.012,high,PAPUA BARAT,2019,default_fallback,seasonal_estimate,183.9,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.039,high,PAPUA,2019,default_fallback,seasonal_estimate,578.2,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.75,high,ACEH,2020,default_fallback,seasonal_estimate,11246.48,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,1.948,high,SUMATERA UTARA,2020,default_fallback,seasonal_estimate,29222.12,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,19.221,low,SUMATERA BARAT,2020,default_fallback,seasonal_estimate,153770.19,8000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.018,high,RIAU,2020,default_fallback,seasonal_estimate,263.25,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.798,high,JAMBI,2020,default_fallback,seasonal_estimate,11976.59,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.062,high,SUMATERA SELATAN,2020,default_fallback,seasonal_estimate,934.1,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.077,high,BENGKULU,2020,default_fallback,seasonal_estimate,1153.4,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.14,high,LAMPUNG,2020,default_fallback,seasonal_estimate,2104.8,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.01,high,KEPULAUAN BANGKA BELITUNG,2020,default_fallback,seasonal_estimate,157.41,15000.0
0.38,150.0,27.0,185.0,2.0,bawang_merah,60,0.008,high,KEPULAUAN RIAU,2020,default_fallback,seasonal_estimate,122.59,15000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,16.483,low,JAWA BARAT,2020,default_fallback,seasonal_estimate,164826.53,10000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,13.581,low,JAWA TENGAH,2020,default_fallback,seasonal_estimate,611165.06,45000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,1.254,high,DAERAH ISTIMEWA YOGYAKARTA,2020,default_fallback,seasonal_estimate,18810.51,15000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,18.183,low,JAWA TIMUR,2020,default_fallback,seasonal_estimate,454583.67,25000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,0.094,high,BANTEN,2020,default_fallback,seasonal_estimate,1404.05,15000.0
0.4,150.0,27.0,185.0,2.0,bawang_merah,60,0.947,high,BALI,2020,default_fallback,seasonal_estimate,14207.43,15000.0
