ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.096,high,ACEH,2019,default_fallback,seasonal_estimate,288.4,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.65,high,SUMATERA UTARA,2019,default_fallback,seasonal_estimate,974.9,1500.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.622,high,SUMATERA BARAT,2019,default_fallback,seasonal_estimate,1866.4,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.132,high,JAMBI,2019,default_fallback,seasonal_estimate,395.0,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.052,high,SUMATERA SELATAN,2019,default_fallback,seasonal_estimate,156.7,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.046,high,BENGKULU,2019,default_fallback,seasonal_estimate,137.0,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.016,high,LAMPUNG,2019,default_fallback,seasonal_estimate,48.9,3000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,6.698,low,JAWA BARAT,2019,default_fallback,seasonal_estimate,6697.7,1000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,7.236,low,JAWA TENGAH,2019,default_fallback,seasonal_estimate,36178.9,5000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,3.467,high,JAWA TIMUR,2019,default_fallback,seasonal_estimate,6934.6,2000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,0.521,high,BALI,2019,default_fallback,seasonal_estimate,1562.9,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,8.701,low,NUSA TENGGARA BARAT,2019,default_fallback,seasonal_estimate,30453.4,3500.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.289,high,NUSA TENGGARA TIMUR,2019,default_fallback,seasonal_estimate,868.3,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.632,high,SULAWESI UTARA,2019,default_fallback,seasonal_estimate,1896.0,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.018,high,SULAWESI TENGAH,2019,default_fallback,seasonal_estimate,55.0,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.094,high,SULAWESI SELATAN,2019,default_fallback,seasonal_estimate,281.8,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.006,high,PAPUA,2019,default_fallback,seasonal_estimate,19.3,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,27.268,low,"88,816.50",2019,default_fallback,seasonal_estimate,81804.6,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.265,high,ACEH,2020,default_fallback,seasonal_estimate,795.6,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.892,high,SUMATERA UTARA,2020,default_fallback,seasonal_estimate,1338.7,1500.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,1.635,high,SUMATERA BARAT,2020,default_fallback,seasonal_estimate,4906.3,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.167,high,JAMBI,2020,default_fallback,seasonal_estimate,501.5,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.038,high,SUMATERA SELATAN,2020,default_fallback,seasonal_estimate,115.4,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.324,high,BENGKULU,2020,default_fallback,seasonal_estimate,970.6,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.269,high,LAMPUNG,2020,default_fallback,seasonal_estimate,808.2,3000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,3.253,high,JAWA BARAT,2020,default_fallback,seasonal_estimate,3253.0,1000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,6.661,low,JAWA TENGAH,2020,default_fallback,seasonal_estimate,33303.55,5000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,2.949,high,JAWA TIMUR,2020,default_fallback,seasonal_estimate,5898.0,2000.0
0.38,150.0,27.0,185.0,2.0,bawang_putih,95,0.443,high,BALI,2020,default_fallback,seasonal_estimate,1329.01,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,7.031,low,NUSA TENGGARA BARAT,2020,default_fallback,seasonal_estimate,24608.7,3500.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.325,high,NUSA TENGGARA TIMUR,2020,default_fallback,seasonal_estimate,973.71,3000.0
0.36,150.0,27.0,185.0,2.0,bawang_putih,95,0.292,high,SULAWESI UTARA,2020,default_fallback,seasonal_estimate,875.05,3000.0
