ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,2.652,high,ACEH,2017,default_fallback,seasonal_estimate,53041.2,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,7.957,low,SUMATERA UTARA,2017,default_fallback,seasonal_estimate,159131.0,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,6.366,medium,SUMATERA BARAT,2017,default_fallback,seasonal_estimate,95489.4,15000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,0.791,high,RIAU,2017,default_fallback,seasonal_estimate,15813.4,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,1.579,high,JAMBI,2017,default_fallback,seasonal_estimate,31571.6,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,2.023,high,SUMATERA SELATAN,2017,default_fallback,seasonal_estimate,40467.6,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,1.607,high,BENGKULU,2017,default_fallback,seasonal_estimate,32145.4,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,2.51,high,LAMPUNG,2017,default_fallback,seasonal_estimate,50203.2,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,0.1,high,KEPULAUAN BANGKA BELITUNG,2017,default_fallback,seasonal_estimate,1992.6,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,0.097,high,KEPULAUAN RIAU,2017,default_fallback,seasonal_estimate,1944.2,20000.0
0.57,150.0,27.0,185.0,2.0,cabe_besar,90,7.837,low,JAWA BARAT,2017,default_fallback,seasonal_estimate,274311.2,35000.0
0.57,150.0,27.0,185.0,2.0,cabe_besar,90,6.519,medium,JAWA TENGAH,2017,default_fallback,seasonal_estimate,195570.5,30000.0
0.57,150.0,27.0,185.0,2.0,cabe_besar,90,1.476,high,DAERAH ISTIMEWA YOGYAKARTA,2017,default_fallback,seasonal_estimate,29516.4,20000.0
0.57,150.0,27.0,185.0,2.0,cabe_besar,90,4.039,high,JAWA TIMUR,2017,default_fallback,seasonal_estimate,100977.0,25000.0
0.57,150.0,27.0,185.0,2.0,cabe_besar,90,0.323,high,BANTEN,2017,default_fallback,seasonal_estimate,6464.2,20000.0
0.57,150.0,27.0,185.0,2.0,cabe_besar,90,0.635,high,BALI,2017,default_fallback,seasonal_estimate,12699.8,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,1.591,high,NUSA TENGGARA BARAT,2017,default_fallback,seasonal_estimate,31818.6,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,0.124,high,NUSA TENGGARA TIMUR,2017,default_fallback,seasonal_estimate,2476.3,20000.0
0.55,150.0,27.0,185.0,2.0,cabe_besar,90,0.083,high,KALIMANTAN BARAT,2017,default_fallback,seasonal_estimate,1664.8,20000.0
