ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.793,high,ACEH,2017,default_fallback,seasonal_estimate,53799.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.058,high,SUMATERA UTARA,2017,default_fallback,seasonal_estimate,31727.3,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.762,high,SUMATERA BARAT,2017,default_fallback,seasonal_estimate,22871.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.363,high,RIAU,2017,default_fallback,seasonal_estimate,10901.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.278,high,JAMBI,2017,default_fallback,seasonal_estimate,8352.5,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.528,high,SUMATERA SELATAN,2017,default_fallback,seasonal_estimate,15826.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.261,high,BENGKULU,2017,default_fallback,seasonal_estimate,7822.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.49,high,LAMPUNG,2017,default_fallback,seasonal_estimate,14705.4,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.058,high,KEPULAUAN BANGKA BELITUNG,2017,default_fallback,seasonal_estimate,1728.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.035,high,KEPULAUAN RIAU,2017,default_fallback,seasonal_estimate,1060.8,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,4.497,medium,JAWA BARAT,2017,default_fallback,seasonal_estimate,134909.5,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,3.703,high,JAWA TENGAH,2017,default_fallback,seasonal_estimate,148139.0,40000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.28,high,DAERAH ISTIMEWA YOGYAKARTA,2017,default_fallback,seasonal_estimate,8386.2,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,5.65,low,JAWA TIMUR,2017,default_fallback,seasonal_estimate,339021.7,60000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.152,high,BANTEN,2017,default_fallback,seasonal_estimate,4571.8,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,1.049,high,BALI,2017,default_fallback,seasonal_estimate,31463.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,7.846,low,NUSA TENGGARA BARAT,2017,default_fallback,seasonal_estimate,156922.1,20000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.174,high,NUSA TENGGARA TIMUR,2017,default_fallback,seasonal_estimate,5227.8,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.59,high,KALIMANTAN BARAT,2017,default_fallback,seasonal_estimate,4719.1,8000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.092,high,KALIMANTAN TENGAH,2017,default_fallback,seasonal_estimate,2774.4,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.395,high,KALIMANTAN SELATAN,2017,default_fallback,seasonal_estimate,11848.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.201,high,KALIMANTAN TIMUR,2017,default_fallback,seasonal_estimate,6040.3,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.09,high,KALIMANTAN UTARA,2017,default_fallback,seasonal_estimate,2706.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.692,high,SULAWESI UTARA,2017,default_fallback,seasonal_estimate,16915.0,10000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.708,high,SULAWESI TENGAH,2017,default_fallback,seasonal_estimate,21229.5,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.526,high,SULAWESI SELATAN,2017,default_fallback,seasonal_estimate,45770.3,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.11,high,SULAWESI TENGGARA,2017,default_fallback,seasonal_estimate,3312.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.838,high,GORONTALO,2017,default_fallback,seasonal_estimate,25125.8,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.088,high,SULAWESI BARAT,2017,default_fallback,seasonal_estimate,2651.2,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.135,high,MALUKU,2017,default_fallback,seasonal_estimate,4038.6,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.042,high,MALUKU UTARA,2017,default_fallback,seasonal_estimate,1261.5,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.03,high,PAPUA BARAT,2017,default_fallback,seasonal_estimate,889.4,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.03,high,PAPUA BARAT,2017,default_fallback,seasonal_estimate,889.4,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.214,high,PAPUA,2017,default_fallback,seasonal_estimate,6424.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,44.52,low,"1,153,155.00",2017,default_fallback,seasonal_estimate,1335595.3,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,2.072,high,ACEH,2018,default_fallback,seasonal_estimate,62167.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.328,high,SUMATERA UTARA,2018,default_fallback,seasonal_estimate,39825.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.839,high,SUMATERA BARAT,2018,default_fallback,seasonal_estimate,25178.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.423,high,RIAU,2018,default_fallback,seasonal_estimate,12691.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.276,high,JAMBI,2018,default_fallback,seasonal_estimate,8271.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.448,high,SUMATERA SELATAN,2018,default_fallback,seasonal_estimate,13450.6,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.378,high,BENGKULU,2018,default_fallback,seasonal_estimate,11353.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.488,high,LAMPUNG,2018,default_fallback,seasonal_estimate,14648.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.068,high,KEPULAUAN BANGKA BELITUNG,2018,default_fallback,seasonal_estimate,2034.7,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.057,high,KEPULAUAN RIAU,2018,default_fallback,seasonal_estimate,1715.7,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,4.381,medium,JAWA BARAT,2018,default_fallback,seasonal_estimate,131418.2,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,3.544,high,JAWA TENGAH,2018,default_fallback,seasonal_estimate,141770.5,40000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.338,high,DAERAH ISTIMEWA YOGYAKARTA,2018,default_fallback,seasonal_estimate,10146.8,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,7.556,low,JAWA TIMUR,2018,default_fallback,seasonal_estimate,453338.0,60000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,0.174,high,BANTEN,2018,default_fallback,seasonal_estimate,5224.6,30000.0
0.54,150.0,27.0,185.0,2.0,cabe_rawit,85,1.055,high,BALI,2018,default_fallback,seasonal_estimate,31653.9,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,10.527,low,NUSA TENGGARA BARAT,2018,default_fallback,seasonal_estimate,210530.3,20000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.175,high,NUSA TENGGARA TIMUR,2018,default_fallback,seasonal_estimate,5247.4,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.521,high,KALIMANTAN BARAT,2018,default_fallback,seasonal_estimate,4164.7,8000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.121,high,KALIMANTAN TENGAH,2018,default_fallback,seasonal_estimate,3638.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.422,high,KALIMANTAN SELATAN,2018,default_fallback,seasonal_estimate,12670.6,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.227,high,KALIMANTAN TIMUR,2018,default_fallback,seasonal_estimate,6795.8,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.11,high,KALIMANTAN UTARA,2018,default_fallback,seasonal_estimate,3298.3,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.647,high,SULAWESI UTARA,2018,default_fallback,seasonal_estimate,16469.7,10000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.87,high,SULAWESI TENGAH,2018,default_fallback,seasonal_estimate,26090.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,1.219,high,SULAWESI SELATAN,2018,default_fallback,seasonal_estimate,36568.5,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.149,high,SULAWESI TENGGARA,2018,default_fallback,seasonal_estimate,4484.2,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.856,high,GORONTALO,2018,default_fallback,seasonal_estimate,25694.6,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.089,high,SULAWESI BARAT,2018,default_fallback,seasonal_estimate,2658.1,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.124,high,MALUKU,2018,default_fallback,seasonal_estimate,3732.3,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.037,high,MALUKU UTARA,2018,default_fallback,seasonal_estimate,1095.6,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.021,high,PAPUA BARAT,2018,default_fallback,seasonal_estimate,624.8,30000.0
0.52,150.0,27.0,185.0,2.0,cabe_rawit,85,0.021,high,PAPUA BARAT,2018,default_fallback,seasonal_estimate,624.8,30000.0
