ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.031,high,ACEH,2020,default_fallback,seasonal_estimate,6297.58,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,13.547,medium,SUMATERA UTARA,2020,default_fallback,seasonal_estimate,1083732.68,80000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.753,high,SUMATERA BARAT,2020,default_fallback,seasonal_estimate,150689.85,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.712,high,RIAU,2020,default_fallback,seasonal_estimate,142398.33,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.217,high,JAMBI,2020,default_fallback,seasonal_estimate,43457.6,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.158,high,BENGKULU,2020,default_fallback,seasonal_estimate,31506.78,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,17.718,low,LAMPUNG,2020,default_fallback,seasonal_estimate,5846981.32,330000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.714,high,KEPULAUAN BANGKA BELITUNG,2020,default_fallback,seasonal_estimate,142899.44,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.086,high,KEPULAUAN RIAU,2020,default_fallback,seasonal_estimate,17275.14,200000.0
0.57,150.0,27.0,185.0,2.0,ubi_kayu,270,14.587,medium,JAWA BARAT,2020,default_fallback,seasonal_estimate,1458674.61,100000.0
0.57,150.0,27.0,185.0,2.0,ubi_kayu,270,20.024,low,JAWA TENGAH,2020,default_fallback,seasonal_estimate,3404061.64,170000.0
0.57,150.0,27.0,185.0,2.0,ubi_kayu,270,4.817,high,DAERAH ISTIMEWA YOGYAKARTA,2020,default_fallback,seasonal_estimate,963394.83,200000.0
0.57,150.0,27.0,185.0,2.0,ubi_kayu,270,8.814,high,JAWA TIMUR,2020,default_fallback,seasonal_estimate,1674571.69,190000.0
0.57,150.0,27.0,185.0,2.0,ubi_kayu,270,0.298,high,BANTEN,2020,default_fallback,seasonal_estimate,59542.85,200000.0
0.57,150.0,27.0,185.0,2.0,ubi_kayu,270,0.38,high,BALI,2020,default_fallback,seasonal_estimate,76028.05,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.198,high,NUSA TENGGARA BARAT,2020,default_fallback,seasonal_estimate,39644.64,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,2.928,high,NUSA TENGGARA TIMUR,2020,default_fallback,seasonal_estimate,585599.1,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.942,high,KALIMANTAN BARAT,2020,default_fallback,seasonal_estimate,188328.24,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.336,high,KALIMANTAN TENGAH,2020,default_fallback,seasonal_estimate,67121.95,200000.0
0.52,150.0,27.0,185.0,2.0,ubi_kayu,270,0.268,high,KALIMANTAN SELATAN,2020,default_fallback,seasonal_estimate,53642.07,200000.0
