ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,150.0,27.0,185.0,2.0,jagung,100,0.213,high,ACEH,2020,default_fallback,seasonal_estimate,63951.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,2.303,high,SUMATERA UTARA,2020,default_fallback,seasonal_estimate,783127.0,340000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,1.417,high,SUMATERA BARAT,2020,default_fallback,seasonal_estimate,425025.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.002,high,RIAU,2020,default_fallback,seasonal_estimate,473.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.025,high,JAMBI,2020,default_fallback,seasonal_estimate,7604.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.706,high,SUMATERA SELATAN,2020,default_fallback,seasonal_estimate,211736.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.078,high,BENGKULU,2020,default_fallback,seasonal_estimate,23416.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,1.389,high,LAMPUNG,2020,default_fallback,seasonal_estimate,971957.0,700000.0
0.57,150.0,27.0,185.0,2.0,jagung,100,1.395,high,JAWA BARAT,2020,default_fallback,seasonal_estimate,418402.0,300000.0
0.57,150.0,27.0,185.0,2.0,jagung,100,4.558,medium,JAWA TENGAH,2020,default_fallback,seasonal_estimate,2279146.0,500000.0
0.57,150.0,27.0,185.0,2.0,jagung,100,0.565,high,DAERAH ISTIMEWA YOGYAKARTA,2020,default_fallback,seasonal_estimate,169431.0,300000.0
0.57,150.0,27.0,185.0,2.0,jagung,100,3.446,high,JAWA TIMUR,2020,default_fallback,seasonal_estimate,4134908.0,1200000.0
0.57,150.0,27.0,185.0,2.0,jagung,100,0.068,high,BANTEN,2020,default_fallback,seasonal_estimate,20350.0,300000.0
0.57,150.0,27.0,185.0,2.0,jagung,100,0.117,high,BALI,2020,default_fallback,seasonal_estimate,34995.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,2.868,high,NUSA TENGGARA BARAT,2020,default_fallback,seasonal_estimate,860495.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.852,high,NUSA TENGGARA TIMUR,2020,default_fallback,seasonal_estimate,255453.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.068,high,KALIMANTAN BARAT,2020,default_fallback,seasonal_estimate,20284.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.103,high,KALIMANTAN TENGAH,2020,default_fallback,seasonal_estimate,30998.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.509,high,KALIMANTAN SELATAN,2020,default_fallback,seasonal_estimate,152797.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.035,high,KALIMANTAN TIMUR,2020,default_fallback,seasonal_estimate,10585.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.004,high,KALIMANTAN UTARA,2020,default_fallback,seasonal_estimate,1169.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.581,high,SULAWESI UTARA,2020,default_fallback,seasonal_estimate,174418.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.219,high,SULAWESI TENGAH,2020,default_fallback,seasonal_estimate,65596.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,2.415,high,SULAWESI SELATAN,2020,default_fallback,seasonal_estimate,1086933.0,450000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.33,high,SULAWESI TENGGARA,2020,default_fallback,seasonal_estimate,98972.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,2.902,high,GORONTALO,2020,default_fallback,seasonal_estimate,580370.0,200000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.037,high,SULAWESI BARAT,2020,default_fallback,seasonal_estimate,11240.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.05,high,MALUKU,2020,default_fallback,seasonal_estimate,14935.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.013,high,MALUKU UTARA,2020,default_fallback,seasonal_estimate,3816.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.017,high,PAPUA BARAT,2020,default_fallback,seasonal_estimate,5099.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.017,high,PAPUA BARAT,2020,default_fallback,seasonal_estimate,5099.0,300000.0
0.52,150.0,27.0,185.0,2.0,jagung,100,0.037,high,PAPUA,2020,default_fallback,seasonal_estimate,11120.0,300000.0
