ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.315,high,ACEH,2020,default_fallback,seasonal_estimate,6297.58,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,7.391,high,SUMATERA UTARA,2020,default_fallback,seasonal_estimate,88691.96,12000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,7.11,high,SUMATERA BARAT,2020,default_fallback,seasonal_estimate,142194.61,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.472,high,RIAU,2020,default_fallback,seasonal_estimate,9444.84,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,2.173,high,JAMBI,2020,default_fallback,seasonal_estimate,43457.6,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.808,high,BENGKULU,2020,default_fallback,seasonal_estimate,16157.57,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.446,high,LAMPUNG,2020,default_fallback,seasonal_estimate,28921.7,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.142,high,KEPULAUAN BANGKA BELITUNG,2020,default_fallback,seasonal_estimate,2843.03,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.072,high,KEPULAUAN RIAU,2020,default_fallback,seasonal_estimate,1448.92,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,12.238,low,JAWA BARAT,2020,default_fallback,seasonal_estimate,428336.78,35000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,7.627,high,JAWA TENGAH,2020,default_fallback,seasonal_estimate,152542.04,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.174,high,DAERAH ISTIMEWA YOGYAKARTA,2020,default_fallback,seasonal_estimate,3489.55,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,18.963,low,JAWA TIMUR,2020,default_fallback,seasonal_estimate,284444.35,15000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.797,high,BANTEN,2020,default_fallback,seasonal_estimate,15945.45,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,1.045,high,BALI,2020,default_fallback,seasonal_estimate,20899.82,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.836,high,NUSA TENGGARA BARAT,2020,default_fallback,seasonal_estimate,16717.47,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.597,high,NUSA TENGGARA TIMUR,2020,default_fallback,seasonal_estimate,31931.46,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.136,high,KALIMANTAN BARAT,2020,default_fallback,seasonal_estimate,22710.48,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.31,high,KALIMANTAN TENGAH,2020,default_fallback,seasonal_estimate,6209.55,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.451,high,KALIMANTAN SELATAN,2020,default_fallback,seasonal_estimate,9013.16,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.824,high,KALIMANTAN TIMUR,2020,default_fallback,seasonal_estimate,16479.67,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.068,high,KALIMANTAN UTARA,2020,default_fallback,seasonal_estimate,1365.49,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.268,high,SULAWESI UTARA,2020,default_fallback,seasonal_estimate,25365.96,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.241,high,SULAWESI TENGAH,2020,default_fallback,seasonal_estimate,24829.71,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,3.23,high,SULAWESI SELATAN,2020,default_fallback,seasonal_estimate,64603.17,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.916,high,SULAWESI TENGGARA,2020,default_fallback,seasonal_estimate,18326.69,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.024,high,GORONTALO,2020,default_fallback,seasonal_estimate,481.41,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.265,high,MALUKU UTARA,2020,default_fallback,seasonal_estimate,5290.65,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,2.721,high,PAPUA,2020,default_fallback,seasonal_estimate,136071.87,50000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,71.207,low,"1,604,184.00",2020,default_fallback,seasonal_estimate,1424147.0,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.377,high,ACEH,2021,default_fallback,seasonal_estimate,7548.96,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,6.696,high,SUMATERA UTARA,2021,default_fallback,seasonal_estimate,80347.66,12000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,6.088,high,SUMATERA BARAT,2021,default_fallback,seasonal_estimate,121767.0,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.377,high,RIAU,2021,default_fallback,seasonal_estimate,7533.03,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.729,high,JAMBI,2021,default_fallback,seasonal_estimate,34573.62,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.209,high,BENGKULU,2021,default_fallback,seasonal_estimate,24170.64,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.552,high,LAMPUNG,2021,default_fallback,seasonal_estimate,31045.48,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.122,high,KEPULAUAN BANGKA BELITUNG,2021,default_fallback,seasonal_estimate,2435.6,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.066,high,KEPULAUAN RIAU,2021,default_fallback,seasonal_estimate,1312.38,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,13.998,low,JAWA BARAT,2021,default_fallback,seasonal_estimate,489919.0,35000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,6.07,high,JAWA TENGAH,2021,default_fallback,seasonal_estimate,121393.25,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.082,high,DAERAH ISTIMEWA YOGYAKARTA,2021,default_fallback,seasonal_estimate,1630.03,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,21.636,low,JAWA TIMUR,2021,default_fallback,seasonal_estimate,324542.05,15000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.657,high,BANTEN,2021,default_fallback,seasonal_estimate,13132.61,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.872,high,BALI,2021,default_fallback,seasonal_estimate,17441.41,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.347,high,NUSA TENGGARA BARAT,2021,default_fallback,seasonal_estimate,6940.55,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.607,high,NUSA TENGGARA TIMUR,2021,default_fallback,seasonal_estimate,32139.14,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.003,high,KALIMANTAN BARAT,2021,default_fallback,seasonal_estimate,20060.6,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.373,high,KALIMANTAN TENGAH,2021,default_fallback,seasonal_estimate,7452.95,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.627,high,KALIMANTAN SELATAN,2021,default_fallback,seasonal_estimate,12532.44,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.775,high,KALIMANTAN TIMUR,2021,default_fallback,seasonal_estimate,15492.51,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.134,high,KALIMANTAN UTARA,2021,default_fallback,seasonal_estimate,2670.19,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.854,high,SULAWESI UTARA,2021,default_fallback,seasonal_estimate,17072.59,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.828,high,SULAWESI TENGAH,2021,default_fallback,seasonal_estimate,16562.18,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,2.171,high,SULAWESI SELATAN,2021,default_fallback,seasonal_estimate,43417.76,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.773,high,SULAWESI TENGGARA,2021,default_fallback,seasonal_estimate,15468.86,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.018,high,GORONTALO,2021,default_fallback,seasonal_estimate,350.35,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.661,high,MALUKU UTARA,2021,default_fallback,seasonal_estimate,13225.65,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.166,high,PAPUA,2021,default_fallback,seasonal_estimate,8281.14,50000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,75.552,low,"1,604,184.00",2021,default_fallback,seasonal_estimate,1511041.0,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.429,high,ACEH,2022,default_fallback,seasonal_estimate,8586.66,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,6.487,high,SUMATERA UTARA,2022,default_fallback,seasonal_estimate,77840.88,12000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,6.592,high,SUMATERA BARAT,2022,default_fallback,seasonal_estimate,131841.73,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.305,high,RIAU,2022,default_fallback,seasonal_estimate,6103.34,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.729,high,JAMBI,2022,default_fallback,seasonal_estimate,34573.62,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.101,high,BENGKULU,2022,default_fallback,seasonal_estimate,22018.95,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,1.163,high,LAMPUNG,2022,default_fallback,seasonal_estimate,23264.11,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.107,high,KEPULAUAN BANGKA BELITUNG,2022,default_fallback,seasonal_estimate,2132.34,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.058,high,KEPULAUAN RIAU,2022,default_fallback,seasonal_estimate,1162.35,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,16.863,low,JAWA BARAT,2022,default_fallback,seasonal_estimate,590206.08,35000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,6.771,high,JAWA TENGAH,2022,default_fallback,seasonal_estimate,135428.45,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.15,high,DAERAH ISTIMEWA YOGYAKARTA,2022,default_fallback,seasonal_estimate,3003.86,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,23.129,low,JAWA TIMUR,2022,default_fallback,seasonal_estimate,346940.7,15000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.886,high,BANTEN,2022,default_fallback,seasonal_estimate,17714.28,20000.0
0.67,150.0,27.0,185.0,2.0,ubi_jalar,120,0.681,high,BALI,2022,default_fallback,seasonal_estimate,13623.24,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,0.423,high,NUSA TENGGARA BARAT,2022,default_fallback,seasonal_estimate,8459.16,20000.0
0.62,150.0,27.0,185.0,2.0,ubi_jalar,120,2.06,high,NUSA TENGGARA TIMUR,2022,default_fallback,seasonal_estimate,41193.27,20000.0
